# ZTF Solar System Marshal CHECK_FMO output
# started at 2018-05-12 02:42:21+0000
# start_date                    = 20171001
# end_date                      = 20180510
# min motion rate (arcsec/sec)  = 0.16666666666666666
# limiting magnitude            = 21.0
# max uncertainty limit         = 60.0
#   object    date UT  filter   rate    sundist   geodist  vmag   ecllat  unc range	fracday      
#                              [''/s]     [AU]      [AU]          [deg]      ['']  	      
 2010 GD35   20180407   zr   0.170201   1.0504    0.0625  20.39 22.8590    1.0415  	240590
 2010 GD35   20180407   zr   0.170162   1.0504    0.0626  20.39 22.8363    1.0415  	246817
 2010 VT11   20171019   zr   0.219931   0.9544    0.0937  20.99 15.9988    1.4947  	528275
 2010 VT11   20171026   zr   0.204552   1.0224    0.0972  19.39 13.7197    0.8548  	441157
 2010 VT11   20171026   zr   0.204679   1.0227    0.0972  19.38 13.7041    0.8529  	464028
 2010 VT11   20171026   zr   0.204667   1.0230    0.0974  19.38 13.6799    0.8481  	498553
 2010 VT11   20171027   zr   0.190544   1.0313    0.1002  19.31 13.0673    0.7568  	333299
 2013 RZ73   20180306   zr   0.201392   1.0144    0.0882  18.75 77.0750    0.5661  	406667
 2013 RZ73   20180306   zr   0.201955   1.0137    0.0875  18.74 77.3351    0.5713  	478912
 2013 RZ73   20180307   zr   0.251462   1.0040    0.0782  18.68 80.8625    0.6651  	532361
  2013 US3   20180422   zg   0.168663   1.0107    0.0407  17.45 57.4009    0.4247  	301100
  2013 US3   20180422   zg   0.169008   1.0107    0.0407  17.45 57.3908    0.4247  	304676
  2013 US3   20180422   zg   0.169096   1.0107    0.0407  17.45 57.3882    0.4247  	305637
  2013 US3   20180422   zg   0.171223   1.0107    0.0406  17.44 57.3239    0.4255  	328391
  2013 US3   20180422   zg   0.172698   1.0107    0.0406  17.44 57.2765    0.4255  	345023
  2013 US3   20180423   zr   0.186006   1.0123    0.0378  17.20 54.9366    0.4434  	182419
  2013 US3   20180423   zr   0.186106   1.0123    0.0378  17.20 54.9336    0.4434  	183333
  2013 US3   20180423   zr   0.195465   1.0124    0.0376  17.17 54.6484    0.4449  	266759
  2013 US3   20180423   zr   0.200919   1.0125    0.0374  17.16 54.4676    0.4457  	317674
  2013 US3   20180424   zg   0.219046   1.0141    0.0348  16.90 51.4300    0.4652  	162523
  2013 US3   20180424   zg   0.219158   1.0141    0.0348  16.90 51.4260    0.4652  	163507
  2013 US3   20180424   zr   0.225573   1.0142    0.0347  16.89 51.1993    0.4660  	217176
  2013 US3   20180424   zr   0.225684   1.0142    0.0347  16.89 51.1954    0.4660  	218183
  2013 US3   20180424   zi   0.235837   1.0143    0.0344  16.86 50.8219    0.4682  	303113
  2013 US3   20180424   zi   0.235889   1.0143    0.0344  16.86 50.8199    0.4682  	303600
  2013 US3   20180425   zr   0.262910   1.0160    0.0320  16.58 46.7806    0.4860  	185162
  2013 US3   20180425   zr   0.263037   1.0160    0.0320  16.58 46.7753    0.4860  	186111
  2013 US3   20180426   zg   0.310359   1.0179    0.0296  16.24 41.0151    0.5054  	202477
  2013 US3   20180426   zg   0.313000   1.0180    0.0296  16.24 40.8817    0.5054  	222998
  2013 US3   20180427   zg   0.351734   1.0199    0.0278  15.93 34.3856    0.5184  	176157
  2013 US3   20180427   zg   0.356235   1.0199    0.0277  15.92 34.0934    0.5184  	214792
  2013 US3   20180428   zg   0.387670   1.0218    0.0265  15.64 26.5736    0.5259  	171204
  2013 US3   20180428   zg   0.389009   1.0219    0.0265  15.64 26.4488    0.5259  	185972
  2013 US3   20180428   zg   0.391223   1.0219    0.0265  15.63 26.2411    0.5259  	210405
  2013 US3   20180428   zg   0.391306   1.0219    0.0265  15.63 26.2333    0.5259  	211366
  2013 UM9   20171019   zr   0.201186   1.0255    0.0338  18.83 -21.2694   0.9127  	339549
 2014 EY24   20180224   zi   0.253106   1.0141    0.0399  19.41 52.1507    1.2903  	428947
 2014 EY24   20180224   zi   0.257449   1.0140    0.0398  19.41 52.1295    1.2954  	494387
 2014 EY24   20180224   zi   0.258437   1.0140    0.0398  19.41 52.1246    1.2961  	506875
 2014 EY24   20180224   zi   0.262477   1.0139    0.0397  19.41 52.1039    1.3006  	553657
 2014 EY24   20180225   zi   0.269625   1.0127    0.0387  19.40 51.5764    1.3647  	430544
 2014 EY24   20180225   zi   0.269647   1.0127    0.0387  19.40 51.5758    1.3647  	431030
 2014 EY24   20180225   zi   0.270623   1.0127    0.0386  19.40 51.5509    1.3669  	450822
 2014 EY24   20180225   zi   0.270676   1.0127    0.0386  19.40 51.5497    1.3669  	451806
 2014 EY24   20180225   zi   0.270730   1.0127    0.0386  19.40 51.5484    1.3669  	452789
 2014 EY24   20180225   zi   0.271559   1.0126    0.0386  19.40 51.5295    1.3676  	467292
 2014 EY24   20180225   zi   0.274218   1.0126    0.0386  19.40 51.4749    1.3697  	507593
 2014 EY24   20180225   zi   0.274254   1.0126    0.0386  19.40 51.4742    1.3697  	508090
 2014 EY24   20180225   zi   0.276162   1.0125    0.0386  19.40 51.4382    1.3712  	533391
 2014 EY24   20180226   zi   0.278642   1.0115    0.0380  19.42 50.0567    1.4053  	391435
 2014 EY24   20180226   zi   0.278650   1.0115    0.0380  19.42 50.0557    1.4053  	391933
 2014 JR25   20180508   zg   0.223363   1.0392    0.0405  18.49 13.7641    0.9269  	478519
 2015 DK200  20180305   zr   0.239221   1.0093    0.0291  20.25 35.8235    0.6987  	330856
 2015 DK200  20180305   zr   0.238235   1.0092    0.0290  20.25 35.9022    0.6989  	353438
 2015 FM34   20180309   zr   0.215751   0.9656    0.0651  20.98 38.5617    2.4460  	533009
 2015 FV118  20180205   zr   0.197761   0.9572    0.1021  20.65 42.8783    3.0482  	488785
 2015 FV118  20180205   zr   0.198177   0.9574    0.1020  20.64 42.9283    3.0475  	503762
 2015 FV118  20180205   zr   0.199529   0.9579    0.1018  20.63 43.1225    3.0448  	562222
 2015 FV118  20180205   zr   0.199558   0.9580    0.1018  20.63 43.1275    3.0448  	563704
 2015 FV118  20180206   zr   0.211418   0.9668    0.0987  20.37 46.2052    2.9737  	493299
 2015 FV118  20180206   zr   0.211965   0.9670    0.0986  20.36 46.2812    2.9709  	516076
